Animal_ID,Site,Date,Sex,Group
CF249,MYW05,22/11/2021,F,
CM323,MYW06,18/11/2021,M,South_males
CM324,MYW06,18/11/2021,M,South_males
CM323,MYW11,4/1/2022,M,South_males
CM324,MYW11,4/1/2022,M,South_males
CM323,MYW12,5/12/2021,M,South_males
CM324,MYW13,24/11/2021,M,South_males
CM324,MYW13,3/12/2021,M,South_males
CM324,MYW14,13/12/2021,M,South_males
CM323,MYW16,19/11/2021,M,South_males
CM324,MYW16,19/11/2021,M,South_males
CM323,MYW25,21/11/2021,M,South_males
CM324,MYW25,21/11/2021,M,South_males
CM272,MYW80,1/10/2021,M,Orphan_males
CM273,MYW80,1/10/2021,M,Orphan_males
CF248,MYW80,5/10/2021,F,
CM272,MYW83,21/9/2021,M,Orphan_males
CM272,MYW83,22/9/2021,M,Orphan_males
CM273,MYW83,22/9/2021,M,Orphan_males
CM273,MYW92,10/10/2021,M,Orphan_males
