Animal_ID,Site,Date,Side
G10,MYW47,20/9/2021,right
G10,MYW47,6/10/2021,right
G10,MYW47,10/10/2021,right
G10,MYW47,14/10/2021,right
G10,MYW47,26/10/2021,right
G10,MYW47,29/10/2021,right
G103,MYW21,26/11/2021,right
G104,MYW21,22/11/2021,both
G104,MYW21,23/11/2021,both
G104,MYW20,25/11/2021,both
G104,MYW21,4/12/2021,both
G104,MYW21,6/12/2021,both
G104,MYW20,8/12/2021,both
G104,MYW20,24/12/2021,both
G108,MYW21,19/11/2021,both
G108,MYW21,20/11/2021,both
G118,MYW71,23/9/2021,both
G118,MYW71,1/10/2021,both
G118,MYW71,3/10/2021,both
G118,MYW71,4/10/2021,both
G118,MYW71,7/10/2021,both
G118,MYW71,8/10/2021,both
G118,MYW71,10/10/2021,both
G118,MYW71,17/10/2021,both
G118,MYW71,18/10/2021,both
G118,MYW71,23/10/2021,both
G118,MYW71,27/10/2021,both
G118,MYW71,28/10/2021,both
G12,MYW47,24/9/2021,right
G12,MYW47,28/9/2021,right
G12,MYW47,7/10/2021,right
G12,MYW47,10/10/2021,right
G12,MYW47,18/10/2021,right
G124,MYW71,23/9/2021,both
G124,MYW71,4/10/2021,both
G124,MYW71,11/10/2021,both
G124,MYW71,17/10/2021,both
G124,MYW71,23/10/2021,both
G124,MYW71,25/10/2021,both
G124,MYW71,28/10/2021,both
G124,MYW71,29/10/2021,both
G128,MYW71,9/10/2021,both
G128,MYW78,14/10/2021,both
G128,MYW78,31/10/2021,both
G135,MYW08,21/11/2021,right
G135,MYW08,19/12/2021,right
G136,MYW08,23/11/2021,left
G136,MYW08,18/12/2021,left
G137,MYW08,11/12/2021,right
G137,MYW08,18/12/2021,right
G139,MYW08,18/12/2021,left
G14,MYW47,5/10/2021,right
G14,MYW47,11/10/2021,right
G140,MYW08,15/11/2021,left
G140,MYW08,14/12/2021,left
G146,MYW08,19/11/2021,right
G146,MYW08,20/11/2021,right
G146,MYW08,23/11/2021,right
G154,MYW08,20/11/2021,left
G155,MYW08,18/11/2021,both
G155,MYW08,20/11/2021,both
G155,MYW08,29/11/2021,both
G155,MYW08,8/12/2021,both
G159,MYW50,19/10/2021,right
G166,MYW20,25/12/2021,right
G168,MYW21,15/11/2021,both
G168,MYW21,22/11/2021,both
G168,MYW21,6/12/2021,both
G168,MYW21,7/12/2021,both
G168,MYW21,8/12/2021,both
G168,MYW21,20/12/2021,both
G168,MYW20,20/12/2021,both
G168,MYW20,21/12/2021,both
G168,MYW21,28/12/2021,both
G172,MYW20,7/12/2021,right
G176,MYW59,27/9/2021,both
G176,MYW59,5/10/2021,both
G179,MYW59,26/10/2021,right
G181,MYW58,5/10/2021,both
G185,MYW59,15/10/2021,left
G186,MYW59,5/10/2021,right
G187,MYW59,25/9/2021,both
G187,MYW62,7/10/2021,both
G187,MYW63,7/10/2021,both
G187,MYW59,26/10/2021,both
G187,MYW62,4/11/2021,both
G188,MYW59,24/9/2021,both
G188,MYW58,28/10/2021,both
G188,MYW59,31/10/2021,both
G193,MYW73,4/11/2021,right
G193,MYW73,8/11/2021,right
G195,MYW73,18/9/2021,both
G195,MYW73,2/10/2021,both
G195,MYW73,3/10/2021,both
G197,MYW73,25/9/2021,both
G20,MYW47,2/10/2021,left
G200,MYW02,15/11/2021,both
G200,MYW02,18/11/2021,both
G200,MYW02,27/11/2021,both
G200,MYW01,27/11/2021,both
G200,MYW01,6/12/2021,both
G200,MYW01,11/12/2021,both
G200,MYW01,14/12/2021,both
G200,MYW01,19/12/2021,both
G200,MYW01,22/12/2021,both
G200,MYW01,25/12/2021,both
G205,MYW25,26/12/2021,right
G206,MYW05,26/11/2021,right
G206,MYW05,5/12/2021,right
G209,MYW05,21/11/2021,left
G210,MYW24,1/12/2021,both
G210,MYW24,2/12/2021,both
G210,MYW24,17/12/2021,both
G210,MYW24,25/12/2021,both
G210,MYW24,28/12/2021,both
G211,MYW06,18/11/2021,left
G211,MYW06,26/11/2021,left
G211,MYW06,10/12/2021,left
G215,MYW24,20/11/2021,both
G215,MYW24,28/11/2021,both
G215,MYW24,6/12/2021,both
G215,MYW24,25/12/2021,both
G215,MYW24,28/12/2021,both
G216,MYW24,16/11/2021,both
G218,MYW21,16/11/2021,right
G218,MYW24,26/12/2021,right
G22,MYW47,19/9/2021,both
G22,MYW47,27/9/2021,both
G22,MYW47,28/9/2021,both
G22,MYW47,4/10/2021,both
G22,MYW47,8/10/2021,both
G22,MYW47,10/10/2021,both
G22,MYW47,11/10/2021,both
G22,MYW47,17/10/2021,both
G22,MYW47,25/10/2021,both
G22,MYW47,26/10/2021,both
G22,MYW47,31/10/2021,both
G221,MYW78,27/10/2021,left
G222,MYW78,25/10/2021,right
G223,MYW86,7/10/2021,left
G223,MYW80,12/10/2021,left
G223,MYW78,13/10/2021,left
G223,MYW78,15/10/2021,left
G223,MYW78,27/10/2021,left
G226,MYW78,11/10/2021,left
G227,MYW78,10/10/2021,right
G228,MYW78,8/10/2021,both
G228,MYW78,18/10/2021,both
G230,MYW78,25/9/2021,left
G231,MYW78,22/9/2021,both
G231,MYW78,25/9/2021,both
G233,MYW78,22/9/2021,left
G235,MYW70,18/10/2021,both
G235,MYW70,24/10/2021,both
G236,MYW07,19/11/2021,both
G236,MYW07,23/11/2021,both
G236,MYW07,2/12/2021,both
G236,MYW07,5/12/2021,both
G236,MYW07,6/12/2021,both
G236,MYW07,19/12/2021,both
G236,MYW07,24/12/2021,both
G236,MYW07,29/12/2021,both
G24,MYW47,26/9/2021,left
G24,MYW47,11/10/2021,left
G240,MYW70,26/9/2021,right
G242,MYW70,25/9/2021,left
G244,MYW70,19/9/2021,both
G244,MYW70,26/9/2021,both
G245,MYW70,9/10/2021,left
G245,MYW70,11/10/2021,left
G246,MYW70,2/10/2021,both
G247,MYW70,21/9/2021,both
G247,MYW70,26/9/2021,both
G247,MYW70,30/9/2021,both
G248,MYW70,20/9/2021,both
G25,MYW47,26/9/2021,right
G250,MYW57,10/10/2021,left
G252,MYW57,8/10/2021,left
G253,MYW57,4/10/2021,right
G253,MYW57,9/10/2021,right
G253,MYW57,31/10/2021,right
G253,MYW57,1/11/2021,right
G254,MYW57,31/10/2021,left
G255,MYW57,29/10/2021,left
G257,MYW57,8/10/2021,left
G257,MYW57,9/10/2021,left
G261,MYW57,20/9/2021,left
G262,MYW07,28/12/2021,right
G264,MYW16,29/11/2021,left
G266,MYW07,13/12/2021,left
G268,MYW07,5/12/2021,left
g270,MYW17,7/12/2021,left
G273,MYW08,26/11/2021,both
G273,MYW07,2/12/2021,both
G275,MYW06,7/12/2021,left
G275,MYW06,25/12/2021,left
G275,MYW06,28/12/2021,left
G276,MYW06,25/12/2021,right
G279,MYW06,17/12/2021,left
G282,MYW06,8/12/2021,right
G282,MYW06,24/12/2021,right
G284,MYW06,14/11/2021,right
G284,MYW06,19/11/2021,right
G284,MYW06,20/11/2021,right
G284,MYW06,10/12/2021,right
G287,MYW06,14/11/2021,left
G289,MYW50,6/10/2021,left
G290,MYW20,3/12/2021,left
G295,MYW50,18/9/2021,left
G30,MYW47,24/9/2021,right
G300,MYW31,29/12/2021,left
G302,MYW31,19/12/2021,left
G304,MYW27,21/12/2021,right
G305,MYW27,21/12/2021,right
G306,MYW27,18/12/2021,left
G307,MYW27,26/11/2021,right
G308,MYW22,7/12/2021,left
G308,MYW22,19/12/2021,left
G309,MYW27,18/11/2021,right
G309,MYW27,19/11/2021,right
G309,MYW27,27/11/2021,right
G309,MYW27,15/12/2021,right
G310,MYW27,28/11/2021,right
G310,MYW27,29/11/2021,right
G310,MYW27,30/11/2021,right
G310,MYW27,22/12/2021,right
G310,MYW27,25/12/2021,right
G312,MYW27,20/11/2021,right
G314,MYW27,16/11/2021,left
G316,MYW58,4/10/2021,right
G316,MYW58,9/10/2021,right
G316,MYW58,26/10/2021,right
G323,MYW58,28/9/2021,right
G326,MYW24,8/12/2021,left
G33,MYW47,21/9/2021,right
G33,MYW47,2/10/2021,right
G33,MYW47,10/10/2021,right
G333,MYW56,27/9/2021,both
G333,MYW56,3/10/2021,both
G333,MYW56,5/10/2021,both
G333,MYW56,11/10/2021,both
G333,MYW56,21/10/2021,both
G333,MYW56,27/10/2021,both
G337,MYW01,14/11/2021,right
G337,MYW01,28/11/2021,right
G338,MYW01,27/12/2021,right
G341,MYW01,6/12/2021,right
G342,MYW24,27/12/2021,right
G343,MYW01,30/11/2021,right
G346,MYW25,21/11/2021,right
G347,MYW22,29/11/2021,right
