Animal_ID,Site,Date,Side
SH01,MYW31,15/11/2021,both
SH01,MYW20,22/11/2021,both
SH01,MYW37,23/11/2021,both
SH01,MYW26,02/12/2021,both
SH01,MYW29,08/12/2021,both
SH01,MYW32,08/12/2021,both
SH01,MYW17,15/12/2021,both
SH01,MYW02,20/12/2021,both
SH01,MYW31,21/12/2021,both
SH02,MYW27,30/11/2021,both
SH02,MYW19,03/12/2021,both
SH02,MYW26,11/12/2021,both
SH02,MYW22,11/12/2021,both
SH03,MYW20,01/12/2021,both
SH03,MYW26,02/12/2021,both
SH03,MYW28,31/12/2021,both
SH04,MYW25,23/11/2021,both
SH04,MYW25,24/11/2021,both
SH04,MYW25,26/11/2021,both
SH04,MYW20,03/12/2021,both
SH04,MYW22,14/12/2021,both
SH05,MYW25,25/11/2021,both
SH06,MYW30,21/11/2021,both
SH06,MYW26,02/12/2021,both
SH06,MYW25,08/12/2021,both
SH06,MYW26,08/12/2021,both
SH06,MYW42,15/12/2021,both
SH07,MYW31,08/01/2022,both
SH07,MYW22,29/11/2021,both
SH07,MYW22,10/12/2021,both
SH07,MYW30,15/12/2021,both
SH08,MYW30,21/11/2021,both
SH08,MYW22,29/11/2021,both
SH08,MYW31,30/11/2021,both
SH08,MYW37,15/12/2021,both
SH09,MYW61,13/10/2021,both
SH09,MYW52,15/10/2021,both
SH09,MYW62,26/10/2021,both
SH09,MYW59,27/10/2021,both
SH09,MYW63,29/10/2021,both
SH09,MYW41,10/12/2021,both
SH10,MYW45,03/01/2022,both
SH10,MYW42,06/12/2021,both
SH10,MYW22,22/12/2021,both
SH11,MYW47,23/09/2021,both
SH11,MYW73,26/09/2021,both
SH11,MYW66,03/10/2021,both
SH11,MYW85,21/10/2021,both
SH11,MYW64,24/10/2021,both
SH11,MYW79,26/10/2021,both
SH11,MYW71,27/10/2021,both
SH11,MYW42,05/12/2021,both
SH12,MYW62,05/10/2021,both
SH12,MYW61,09/10/2021,both
SH12,MYW60,17/10/2021,both
SH12,MYW52,23/10/2021,both
SH12,MYW55,24/10/2021,both
SH12,MYW53,31/10/2021,both
SH12,MYW53,04/11/2021,both
SH12,MYW40,02/12/2021,both
SH12,MYW41,09/12/2021,both
SH12,MYW41,10/12/2021,both
SH12,MYW42,21/12/2021,both
SH13,MYW88,23/09/2021,both
SH13,MYW68,17/10/2021,both
SH13,MYW93,17/10/2021,both
SH13,MYW70,22/10/2021,both
SH14,MYW86,10/10/2021,both
SH14,MYW88,16/10/2021,both
SH14,MYW86,24/10/2021,both
SH14,MYW70,26/10/2021,both
SH15,MYW32,19/11/2021,both
SH15,MYW28,20/11/2021,both
