Animal_ID,Site,Date,Side,Sex,Group
LF158,MYW65,3/10/2021,both,F,Mountain_pride
LF158,MYW37,7/12/2021,both,F,Mountain_pride
LF158,MYW55,10/10/2021,both,F,Mountain_pride
LF158,MYW58,20/9/2021,both,F,Mountain_pride
LF158,MYW55,21/9/2021,both,F,Mountain_pride
LF158,MYW32,22/12/2021,both,F,Mountain_pride
LF158,MYW40,22/12/2021,both,F,Mountain_pride
LF158,MYW57,22/9/2021,both,F,Mountain_pride
LF158,MYW58,22/9/2021,both,F,Mountain_pride
LF158,MYW59,23/9/2021,both,F,Mountain_pride
LF158,MYW61,27/10/2021,both,F,Mountain_pride
LF158,MYW63,31/10/2021,both,F,Mountain_pride
LF165,MYW52,4/10/2021,both,F,Mountain_pride
LF165,MYW67,4/11/2021,both,F,Mountain_pride
LF165,MYW46,12/12/2021,both,F,Mountain_pride
LF165,MYW46,24/12/2021,both,F,Mountain_pride
LF165,MYW46,26/12/2021,both,F,Mountain_pride
LF165,MYW46,28/12/2021,both,F,Mountain_pride
LF179,MYW29,9/12/2021,both,F,North_pride
LF179,MYW11,17/11/2021,both,F,North_pride
LF179,MYW25,26/12/2021,both,F,North_pride
LF179,MYW11,27/11/2021,both,F,North_pride
LF179,MYW11,28/11/2021,both,F,North_pride
LF236,MYW64,23/9/2021,both,F,Mountain_pride
LF236,MYW66,25/9/2021,both,F,Mountain_pride
LF236,MYW50,3/10/2021,both,F,Mountain_pride
LF236,MYW45,3/12/2021,both,F,Mountain_pride
LF236,MYW53,4/11/2021,both,F,Mountain_pride
LF236,MYW53,9/10/2021,both,F,Mountain_pride
LF236,MYW54,10/10/2021,both,F,Mountain_pride
LF236,MYW44,10/12/2021,both,F,Mountain_pride
LF236,MYW46,20/12/2021,both,F,Mountain_pride
LF236,MYW64,23/9/2021,both,F,Mountain_pride
LF236,MYW66,25/9/2021,both,F,Mountain_pride
LF237,MYW45,3/12/2021,both,F,Mountain_pride
LF237,MYW52,4/10/2021,both,F,Mountain_pride
LF237,MYW67,4/11/2021,both,F,Mountain_pride
LF237,MYW39,20/11/2021,both,F,Mountain_pride
LF237,MYW46,20/12/2021,both,F,Mountain_pride
LF237,MYW35,21/12/2021,both,F,Mountain_pride
LF237,MYW46,24/12/2021,both,F,Mountain_pride
LF237,MYW45,27/12/2021,both,F,Mountain_pride
LF240,MYW01,11/12/2021,both,F,North_pride
LF240,MYW11,27/11/2021,both,F,North_pride
LF241,MYW08,1/12/2021,both,F,North_pride
LF241,MYW01,8/12/2021,both,F,North_pride
LF241,MYW21,25/12/2021,both,F,North_pride
LF241,MYW25,26/12/2021,both,F,North_pride
LF255,MYW90,6/10/2021,both,F,Bayala_pride
LF255,MYW91,11/10/2021,both,F,Bayala_pride
LF255,MYW73,17/9/2021,both,F,Bayala_pride
