Animal_ID,Site,Date,Side
S1,MYW81,20/10/2021,both
S1,MYW81,21/10/2021,both
S14,MYW78,16/10/2021,both
S14,MYW84,28/10/2021,both
S14,MYW78,8/10/2021,both
S18,MYW10,18/11/2021,right
S21,MYW80,30/9/2021,both
S21,MYW81,7/10/2021,both
S21,MYW82,2/11/2021,both
S26,MYW14,26/11/2021,both
S26,MYW13,27/11/2021,both
S27,MYW13,25/11/2021,left
S27,MYW14,18/12/2021,left
S28,MYW10,19/11/2021,right
S28,MYW14,8/12/2021,right
S28,MYW10,21/12/2021,right
S37,MYW71,26/9/2021,both
S37,MYW81,29/9/2021,both
S37,MYW79,3/10/2021,both
S37,MYW80,10/10/2021,both
S37,MYW82,14/10/2021,both
S37,MYW78,19/10/2021,both
S37,MYW86,19/10/2021,both
S37,MYW86,31/10/2021,both
S37,MYW85,31/10/2021,both
S38,MYW99,5/10/2021,both
S38,MYW97,18/10/2021,both
S38,MYW86,29/10/2021,both
S6,MYW81,22/9/2021,both
S6,MYW81,2/10/2021,both
S6,MYW78,6/10/2021,both
S9,MYW86,21/9/2021,left
S9,MYW80,6/10/2021,left
