"iteration","species","design","d0_est","g0_est","sig_est","d0_tru","g0_tru","sig_tru","seed_i","seed_j"
0,"test","test",NA,NA,NA,NA,NA,NA,NA,NA
1,"lion","emp60",-2.56914151559236,-0.950654046761688,1.41809548960778,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
2,"lion","emp60",-2.5368211370828,-0.921171448782637,1.17230854219374,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
3,"lion","emp60",-2.56542296060217,-0.826927396706514,1.29094099985325,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
4,"lion","emp60",-2.57246862424838,-0.730474740386121,1.30033040042742,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
5,"lion","emp60",-2.55225366166726,-1.19629200264702,1.45220227257994,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
6,"lion","emp60",-2.61305437711339,-0.932508862715117,1.35485567391765,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
7,"lion","emp60",-2.61523067289509,-0.937661270928793,1.37954627701784,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
8,"lion","emp60",-2.553984908368,-1.07436743995849,1.37509745265084,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
9,"lion","emp60",-2.55165469118119,-1.01694506859235,1.31864483135699,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
10,"lion","emp60",-2.66811869971628,-0.858654457425029,1.33928193636938,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
11,"lion","emp60",-2.54135607646529,-1.33706466736319,1.48924423865412,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
12,"lion","emp60",-2.53815290996799,-1.175425769426,1.35390116514555,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
13,"lion","emp60",-2.61937998487579,-0.826883322868862,1.34527948120697,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
14,"lion","emp60",-2.54175445058481,-1.21315424153344,1.40011429836421,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
15,"lion","emp60",-2.64229000015982,-1.1744066456527,1.37463951280186,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
16,"lion","emp60",-2.57517167884811,-0.825913344821531,1.40773347588232,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
17,"lion","emp60",-2.59659717057397,-1.36731893105247,1.55145067790066,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
18,"lion","emp60",-2.54872701966173,-1.25429213941058,1.47184112437269,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
19,"lion","emp60",-2.60396850888768,-1.11830353359605,1.41544382182428,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
20,"lion","emp60",-2.55553307943483,-1.21233607009588,1.4877855912188,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
21,"lion","emp60",-2.61115203125396,-1.01354677143067,1.39623041488233,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
22,"lion","emp60",-2.60788588664967,-1.03827150556257,1.38691640696679,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
23,"lion","emp60",-2.6537515011029,-1.19762332164826,1.46311092082696,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
24,"lion","emp60",-2.60712140233927,-1.31409522764989,1.58811994253671,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
25,"lion","emp60",-2.61665097692078,-0.867823615227323,1.34398087388091,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
26,"lion","emp60",-2.54586883616237,-1.20411788550094,1.41711122761034,-2.58150934500179,-1.07491813329155,1.39022601534598,5,1
